temperature,genotype,region,survival
34,BEA_32,temperate,0.600
34,BEA_32,temperate,0.900
36,BEA_32,temperate,0.200
36,BEA_32,temperate,0.100
36,BEA_32,temperate,0.000
36,BEA_32,temperate,0.000
36,BEA_32,temperate,0.050
38,BEA_32,temperate,0.000
38,BEA_32,temperate,1.000
38,BEA_32,temperate,0.000
38,BEA_32,temperate,0.000
38,BEA_32,temperate,0.100
28,BEA_36,temperate,0.900
28,BEA_36,temperate,0.750
28,BEA_36,temperate,0.750
28,BEA_36,temperate,0.800
28,BEA_36,temperate,0.750
28,BEA_36,temperate,0.600
28,BEA_36,temperate,0.550
28,BEA_36,temperate,0.750
28,BEA_36,temperate,0.750
28,BEA_36,temperate,0.750
30,BEA_36,temperate,0.550
30,BEA_36,temperate,0.700
30,BEA_36,temperate,0.750
30,BEA_36,temperate,0.700
30,BEA_36,temperate,0.800
32,BEA_36,temperate,0.650
32,BEA_36,temperate,0.700
32,BEA_36,temperate,0.850
32,BEA_36,temperate,0.640
32,BEA_36,temperate,0.900
32,BEA_36,temperate,0.750
32,BEA_36,temperate,0.800
32,BEA_36,temperate,0.750
32,BEA_36,temperate,0.850
32,BEA_36,temperate,0.700
34,BEA_36,temperate,0.800
34,BEA_36,temperate,0.850
34,BEA_36,temperate,0.450
34,BEA_36,temperate,0.900
34,BEA_36,temperate,0.650
34,BEA_36,temperate,0.800
34,BEA_36,temperate,0.650
34,BEA_36,temperate,0.550
34,BEA_36,temperate,0.730
34,BEA_36,temperate,0.900
36,BEA_36,temperate,0.200
36,BEA_36,temperate,0.080
36,BEA_36,temperate,0.000
36,BEA_36,temperate,0.000
36,BEA_36,temperate,0.150
36,BEA_36,temperate,0.100
36,BEA_36,temperate,0.200
36,BEA_36,temperate,0.050
36,BEA_36,temperate,0.000
36,BEA_36,temperate,0.050
38,BEA_36,temperate,0.150
38,BEA_36,temperate,0.150
38,BEA_36,temperate,0.000
38,BEA_36,temperate,0.200
38,BEA_36,temperate,0.250
38,BEA_36,temperate,0.050
38,BEA_36,temperate,0.100
38,BEA_36,temperate,0.100
38,BEA_36,temperate,0.000
38,BEA_36,temperate,0.000
40,BEA_36,temperate,0.300
40,BEA_36,temperate,0.050
40,BEA_36,temperate,0.050
40,BEA_36,temperate,0.200
40,BEA_36,temperate,0.100
40,BEA_36,temperate,0.000
40,BEA_36,temperate,0.000
40,BEA_36,temperate,0.000
40,BEA_36,temperate,0.100
40,BEA_36,temperate,0.000
30,BEA_36,temperate,0.700
30,BEA_36,temperate,1.000
30,BEA_36,temperate,0.750
30,BEA_36,temperate,0.600
30,BEA_36,temperate,0.800
32,BEA_5,temperate,0.950
32,BEA_5,temperate,0.750
32,BEA_5,temperate,1.000
32,BEA_5,temperate,0.900
32,BEA_5,temperate,0.850
34,BEA_5,temperate,0.900
34,BEA_5,temperate,1.000
34,BEA_5,temperate,0.650
34,BEA_5,temperate,0.900
34,BEA_5,temperate,0.800
36,BEA_5,temperate,0.150
36,BEA_5,temperate,0.200
36,BEA_5,temperate,0.050
36,BEA_5,temperate,0.000
36,BEA_5,temperate,0.000
38,BEA_5,temperate,0.000
38,BEA_5,temperate,0.100
38,BEA_5,temperate,0.050
38,BEA_5,temperate,0.000
38,BEA_5,temperate,0.100
28,RFM_16,temperate,1.000
30,RFM_16,temperate,0.670
30,RFM_16,temperate,0.900
32,RFM_16,temperate,0.820
32,RFM_16,temperate,1.000
32,RFM_16,temperate,0.400
32,RFM_16,temperate,0.550
32,RFM_16,temperate,0.650
32,RFM_16,temperate,0.600
32,RFM_16,temperate,0.920
32,RFM_16,temperate,0.850
32,RFM_16,temperate,0.950
34,RFM_16,temperate,0.430
34,RFM_16,temperate,0.100
34,RFM_16,temperate,0.330
34,RFM_16,temperate,0.300
34,RFM_16,temperate,0.300
34,RFM_16,temperate,0.300
34,RFM_16,temperate,0.650
34,RFM_16,temperate,0.500
34,RFM_16,temperate,0.500
34,RFM_16,temperate,0.500
34,RFM_16,temperate,0.700
36,RFM_16,temperate,0.200
36,RFM_16,temperate,0.200
36,RFM_16,temperate,0.100
36,RFM_16,temperate,0.300
36,RFM_16,temperate,0.000
36,RFM_16,temperate,0.100
36,RFM_16,temperate,0.100
36,RFM_16,temperate,0.050
36,RFM_16,temperate,0.100
38,RFM_16,temperate,0.050
38,RFM_16,temperate,0.000
38,RFM_16,temperate,0.000
38,RFM_16,temperate,0.000
38,RFM_16,temperate,0.200
38,RFM_16,temperate,0.050
40,RFM_16,temperate,0.070
40,RFM_16,temperate,0.080
28,RFM_19,temperate,0.850
28,RFM_19,temperate,1.000
28,RFM_19,temperate,0.550
28,RFM_19,temperate,0.950
28,RFM_19,temperate,0.900
30,RFM_19,temperate,0.800
30,RFM_19,temperate,0.880
30,RFM_19,temperate,0.800
30,RFM_19,temperate,0.950
30,RFM_19,temperate,0.750
32,RFM_19,temperate,0.950
32,RFM_19,temperate,0.950
32,RFM_19,temperate,0.950
32,RFM_19,temperate,0.900
32,RFM_19,temperate,0.850
34,RFM_19,temperate,0.600
34,RFM_19,temperate,0.700
34,RFM_19,temperate,0.700
34,RFM_19,temperate,0.550
34,RFM_19,temperate,0.850
36,RFM_19,temperate,0.210
36,RFM_19,temperate,0.000
36,RFM_19,temperate,0.050
36,RFM_19,temperate,0.000
36,RFM_19,temperate,0.000
38,RFM_19,temperate,0.200
38,RFM_19,temperate,0.100
38,RFM_19,temperate,0.100
38,RFM_19,temperate,0.000
38,RFM_19,temperate,0.000
40,RFM_19,temperate,0.060
40,RFM_19,temperate,0.000
40,RFM_19,temperate,0.000
40,RFM_19,temperate,0.110
40,RFM_19,temperate,0.000
32,RFM_34,temperate,0.750
32,RFM_34,temperate,0.850
32,RFM_34,temperate,1.000
32,RFM_34,temperate,0.800
32,RFM_34,temperate,0.950
34,RFM_34,temperate,0.750
34,RFM_34,temperate,0.900
34,RFM_34,temperate,0.950
34,RFM_34,temperate,0.750
36,RFM_34,temperate,0.100
36,RFM_34,temperate,0.000
36,RFM_34,temperate,0.000
36,RFM_34,temperate,0.000
38,RFM_34,temperate,0.400
38,RFM_34,temperate,0.150
38,RFM_34,temperate,0.000
32,RFM_4,temperate,0.700
32,RFM_4,temperate,0.500
32,RFM_4,temperate,0.450
32,RFM_4,temperate,0.400
32,RFM_4,temperate,0.500
32,RFM_4,temperate,1.000
32,RFM_4,temperate,0.900
32,RFM_4,temperate,0.850
32,RFM_4,temperate,0.850
32,RFM_4,temperate,1.000
34,RFM_4,temperate,0.400
34,RFM_4,temperate,0.350
34,RFM_4,temperate,0.600
34,RFM_4,temperate,0.450
34,RFM_4,temperate,0.550
34,RFM_4,temperate,0.700
34,RFM_4,temperate,0.700
34,RFM_4,temperate,0.850
34,RFM_4,temperate,0.850
34,RFM_4,temperate,1.000
36,RFM_4,temperate,0.050
36,RFM_4,temperate,0.150
36,RFM_4,temperate,0.050
36,RFM_4,temperate,0.100
36,RFM_4,temperate,0.000
36,RFM_4,temperate,0.150
36,RFM_4,temperate,0.050
36,RFM_4,temperate,0.050
36,RFM_4,temperate,0.050
36,RFM_4,temperate,0.000
38,RFM_4,temperate,0.000
38,RFM_4,temperate,0.050
38,RFM_4,temperate,0.000
38,RFM_4,temperate,0.100
38,RFM_4,temperate,0.000
38,RFM_4,temperate,0.050
38,RFM_4,temperate,0.050
38,RFM_4,temperate,0.250
38,RFM_4,temperate,0.000
38,RFM_4,temperate,0.050
30,RFM_48,temperate,0.920
30,RFM_48,temperate,0.820
30,RFM_48,temperate,0.800
30,RFM_48,temperate,0.830
32,RFM_48,temperate,1.000
32,RFM_48,temperate,0.920
32,RFM_48,temperate,0.900
32,RFM_48,temperate,0.930
32,RFM_48,temperate,0.850
32,RFM_48,temperate,0.900
32,RFM_48,temperate,1.000
32,RFM_48,temperate,0.850
32,RFM_48,temperate,1.000
32,RFM_48,temperate,0.950
34,RFM_48,temperate,0.600
34,RFM_48,temperate,0.570
34,RFM_48,temperate,0.800
34,RFM_48,temperate,0.920
34,RFM_48,temperate,0.860
34,RFM_48,temperate,0.930
36,RFM_48,temperate,0.130
36,RFM_48,temperate,0.000
36,RFM_48,temperate,0.170
38,RFM_48,temperate,0.200
38,RFM_48,temperate,0.170
38,RFM_48,temperate,0.000
32,RFM_6,temperate,0.500
32,RFM_6,temperate,0.650
32,RFM_6,temperate,0.550
32,RFM_6,temperate,0.800
32,RFM_6,temperate,0.700
32,RFM_6,temperate,0.900
32,RFM_6,temperate,1.000
32,RFM_6,temperate,0.950
32,RFM_6,temperate,0.950
32,RFM_6,temperate,1.000
34,RFM_6,temperate,0.600
34,RFM_6,temperate,0.500
34,RFM_6,temperate,0.500
34,RFM_6,temperate,0.750
34,RFM_6,temperate,0.750
34,RFM_6,temperate,0.850
34,RFM_6,temperate,0.600
34,RFM_6,temperate,0.840
36,RFM_6,temperate,0.200
36,RFM_6,temperate,0.150
36,RFM_6,temperate,0.100
36,RFM_6,temperate,0.250
36,RFM_6,temperate,0.050
36,RFM_6,temperate,0.100
36,RFM_6,temperate,0.050
36,RFM_6,temperate,0.000
36,RFM_6,temperate,0.100
38,RFM_6,temperate,0.050
38,RFM_6,temperate,0.000
38,RFM_6,temperate,0.000
38,RFM_6,temperate,0.000
38,RFM_6,temperate,0.000
38,RFM_6,temperate,0.050
38,RFM_6,temperate,0.200
38,RFM_6,temperate,0.100
38,RFM_6,temperate,0.050
38,RFM_6,temperate,0.130
28,CH_F_X_VTECK12_M,tropical.X.temperate,0.850
28,CH_F_X_VTECK12_M,tropical.X.temperate,0.650
28,CH_F_X_VTECK12_M,tropical.X.temperate,0.900
28,CH_F_X_VTECK12_M,tropical.X.temperate,0.900
28,CH_F_X_VTECK12_M,tropical.X.temperate,0.750
30,CH_F_X_VTECK12_M,tropical.X.temperate,1.000
30,CH_F_X_VTECK12_M,tropical.X.temperate,0.900
30,CH_F_X_VTECK12_M,tropical.X.temperate,0.900
30,CH_F_X_VTECK12_M,tropical.X.temperate,1.000
30,CH_F_X_VTECK12_M,tropical.X.temperate,1.000
32,CH_F_X_VTECK12_M,tropical.X.temperate,0.800
32,CH_F_X_VTECK12_M,tropical.X.temperate,0.850
32,CH_F_X_VTECK12_M,tropical.X.temperate,0.700
32,CH_F_X_VTECK12_M,tropical.X.temperate,0.700
32,CH_F_X_VTECK12_M,tropical.X.temperate,0.700
32,CH_F_X_VTECK12_M,tropical.X.temperate,0.900
32,CH_F_X_VTECK12_M,tropical.X.temperate,0.950
32,CH_F_X_VTECK12_M,tropical.X.temperate,0.600
32,CH_F_X_VTECK12_M,tropical.X.temperate,1.000
33,CH_F_X_VTECK12_M,tropical.X.temperate,0.600
33,CH_F_X_VTECK12_M,tropical.X.temperate,0.625
33,CH_F_X_VTECK12_M,tropical.X.temperate,0.850
33,CH_F_X_VTECK12_M,tropical.X.temperate,0.800
33,CH_F_X_VTECK12_M,tropical.X.temperate,0.850
33,CH_F_X_VTECK12_M,tropical.X.temperate,0.850
33,CH_F_X_VTECK12_M,tropical.X.temperate,0.650
34,CH_F_X_VTECK12_M,tropical.X.temperate,0.600
34,CH_F_X_VTECK12_M,tropical.X.temperate,0.700
34,CH_F_X_VTECK12_M,tropical.X.temperate,0.700
34,CH_F_X_VTECK12_M,tropical.X.temperate,0.750
34,CH_F_X_VTECK12_M,tropical.X.temperate,0.800
34,CH_F_X_VTECK12_M,tropical.X.temperate,0.900
34,CH_F_X_VTECK12_M,tropical.X.temperate,0.900
34,CH_F_X_VTECK12_M,tropical.X.temperate,0.850
34,CH_F_X_VTECK12_M,tropical.X.temperate,0.850
34,CH_F_X_VTECK12_M,tropical.X.temperate,0.950
35,CH_F_X_VTECK12_M,tropical.X.temperate,1.000
35,CH_F_X_VTECK12_M,tropical.X.temperate,0.850
35,CH_F_X_VTECK12_M,tropical.X.temperate,1.000
35,CH_F_X_VTECK12_M,tropical.X.temperate,0.800
35,CH_F_X_VTECK12_M,tropical.X.temperate,0.400
36,CH_F_X_VTECK12_M,tropical.X.temperate,0.200
36,CH_F_X_VTECK12_M,tropical.X.temperate,0.150
36,CH_F_X_VTECK12_M,tropical.X.temperate,0.200
36,CH_F_X_VTECK12_M,tropical.X.temperate,0.150
36,CH_F_X_VTECK12_M,tropical.X.temperate,0.150
36,CH_F_X_VTECK12_M,tropical.X.temperate,0.150
37,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
37,CH_F_X_VTECK12_M,tropical.X.temperate,0.450
37,CH_F_X_VTECK12_M,tropical.X.temperate,0.450
37,CH_F_X_VTECK12_M,tropical.X.temperate,0.500
37,CH_F_X_VTECK12_M,tropical.X.temperate,0.450
38,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
38,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
38,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
38,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
38,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
40,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
40,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
40,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
40,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
40,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
40,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
28,VTECK12_F_X_CH_M,temperate.X.tropical,0.900
28,VTECK12_F_X_CH_M,temperate.X.tropical,0.800
28,VTECK12_F_X_CH_M,temperate.X.tropical,0.900
28,VTECK12_F_X_CH_M,temperate.X.tropical,0.750
28,VTECK12_F_X_CH_M,temperate.X.tropical,0.800
30,VTECK12_F_X_CH_M,temperate.X.tropical,0.850
30,VTECK12_F_X_CH_M,temperate.X.tropical,0.950
30,VTECK12_F_X_CH_M,temperate.X.tropical,0.900
30,VTECK12_F_X_CH_M,temperate.X.tropical,0.900
30,VTECK12_F_X_CH_M,temperate.X.tropical,0.950
32,VTECK12_F_X_CH_M,temperate.X.tropical,0.571
32,VTECK12_F_X_CH_M,temperate.X.tropical,0.600
32,VTECK12_F_X_CH_M,temperate.X.tropical,0.600
32,VTECK12_F_X_CH_M,temperate.X.tropical,0.600
32,VTECK12_F_X_CH_M,temperate.X.tropical,0.550
33,VTECK12_F_X_CH_M,temperate.X.tropical,0.833
33,VTECK12_F_X_CH_M,temperate.X.tropical,0.650
33,VTECK12_F_X_CH_M,temperate.X.tropical,0.650
33,VTECK12_F_X_CH_M,temperate.X.tropical,0.700
34,VTECK12_F_X_CH_M,temperate.X.tropical,0.500
34,VTECK12_F_X_CH_M,temperate.X.tropical,0.938
34,VTECK12_F_X_CH_M,temperate.X.tropical,1.000
34,VTECK12_F_X_CH_M,temperate.X.tropical,0.800
34,VTECK12_F_X_CH_M,temperate.X.tropical,0.750
34,VTECK12_F_X_CH_M,temperate.X.tropical,0.850
34,VTECK12_F_X_CH_M,temperate.X.tropical,0.550
35,VTECK12_F_X_CH_M,temperate.X.tropical,0.600
35,VTECK12_F_X_CH_M,temperate.X.tropical,0.700
35,VTECK12_F_X_CH_M,temperate.X.tropical,0.500
35,VTECK12_F_X_CH_M,temperate.X.tropical,0.700
35,VTECK12_F_X_CH_M,temperate.X.tropical,0.800
36,VTECK12_F_X_CH_M,temperate.X.tropical,0.100
36,VTECK12_F_X_CH_M,temperate.X.tropical,0.300
36,VTECK12_F_X_CH_M,temperate.X.tropical,0.150
36,VTECK12_F_X_CH_M,temperate.X.tropical,0.200
36,VTECK12_F_X_CH_M,temperate.X.tropical,0.250
37,VTECK12_F_X_CH_M,temperate.X.tropical,0.350
37,VTECK12_F_X_CH_M,temperate.X.tropical,0.200
37,VTECK12_F_X_CH_M,temperate.X.tropical,0.350
37,VTECK12_F_X_CH_M,temperate.X.tropical,0.250
37,VTECK12_F_X_CH_M,temperate.X.tropical,0.100
38,VTECK12_F_X_CH_M,temperate.X.tropical,0.050
38,VTECK12_F_X_CH_M,temperate.X.tropical,0.100
38,VTECK12_F_X_CH_M,temperate.X.tropical,0.050
38,VTECK12_F_X_CH_M,temperate.X.tropical,0.100
38,VTECK12_F_X_CH_M,temperate.X.tropical,0.000
40,VTECK12_F_X_CH_M,temperate.X.tropical,0.000
40,VTECK12_F_X_CH_M,temperate.X.tropical,0.000
40,VTECK12_F_X_CH_M,temperate.X.tropical,0.000
40,VTECK12_F_X_CH_M,temperate.X.tropical,0.000
40,VTECK12_F_X_CH_M,temperate.X.tropical,0.000
40,VTECK12_F_X_CH_M,temperate.X.tropical,0.000